id,title,rating,runtime,url,parent_guide_id
1,The Shawshank Redemption,9.3,142,https://imdb.com/title/tt0111161,7
2,The Godfather,9.2,175,https://imdb.com/title/tt0068646,7
3,The Dark Knight,9.0,152,https://imdb.com/title/tt0468569,5
4,The Godfather Part II,9.0,202,https://imdb.com/title/tt0071562,7
5,12 Angry Men,9.0,96,https://imdb.com/title/tt0050083,1
6,Schindler's List,9.0,195,https://imdb.com/title/tt0108052,7
7,The Lord of the Rings: The Return of the King,9.0,201,https://imdb.com/title/tt0167260,5
8,Pulp Fiction,8.9,154,https://imdb.com/title/tt0110912,7
9,The Lord of the Rings: The Fellowship of the Ring,8.9,178,https://imdb.com/title/tt0120737,5
10,"The Good, the Bad and the Ugly",8.8,178,https://imdb.com/title/tt0060196,7
11,Forrest Gump,8.8,142,https://imdb.com/title/tt0109830,5
12,The Lord of the Rings: The Two Towers,8.8,179,https://imdb.com/title/tt0167261,5
13,Fight Club,8.8,139,https://imdb.com/title/tt0137523,7
14,Inception,8.8,148,https://imdb.com/title/tt1375666,5
15,Star Wars: Episode V - The Empire Strikes Back,8.7,124,https://imdb.com/title/tt0080684,4
16,The Matrix,8.7,136,https://imdb.com/title/tt0133093,7
17,Goodfellas,8.7,145,https://imdb.com/title/tt0099685,7
18,One Flew Over the Cuckoo's Nest,8.7,133,https://imdb.com/title/tt0073486,7
19,Se7en,8.6,127,https://imdb.com/title/tt0114369,7
20,Interstellar,8.7,169,https://imdb.com/title/tt0816692,5
21,It's a Wonderful Life,8.6,130,https://imdb.com/title/tt0038650,4
22,Seven Samurai,8.6,207,https://imdb.com/title/tt0047478,8
23,The Silence of the Lambs,8.6,118,https://imdb.com/title/tt0102926,7
24,Saving Private Ryan,8.6,169,https://imdb.com/title/tt0120815,7
25,City of God,8.6,130,https://imdb.com/title/tt0317248,7
26,Dune: Part Two,8.7,166,https://imdb.com/title/tt15239678,5
27,Life Is Beautiful,8.6,116,https://imdb.com/title/tt0118799,5
28,The Green Mile,8.6,189,https://imdb.com/title/tt0120689,7
29,Terminator 2: Judgment Day,8.6,137,https://imdb.com/title/tt0103064,7
30,Star Wars: Episode IV - A New Hope,8.6,121,https://imdb.com/title/tt0076759,4
31,Back to the Future,8.5,116,https://imdb.com/title/tt0088763,4
32,Spirited Away,8.6,125,https://imdb.com/title/tt0245429,4
33,The Pianist,8.5,150,https://imdb.com/title/tt0253474,7
34,Parasite,8.5,132,https://imdb.com/title/tt6751668,7
35,Psycho,8.5,109,https://imdb.com/title/tt0054215,7
36,Spider-Man: Across the Spider-Verse,8.6,140,https://imdb.com/title/tt9362722,4
37,Gladiator,8.5,155,https://imdb.com/title/tt0172495,7
38,The Lion King,8.5,88,https://imdb.com/title/tt0110357,2
39,The Departed,8.5,151,https://imdb.com/title/tt0407887,7
40,Léon: The Professional,8.5,110,https://imdb.com/title/tt0110413,7
41,American History X,8.5,119,https://imdb.com/title/tt0120586,7
42,Whiplash,8.5,106,https://imdb.com/title/tt2582802,7
43,The Prestige,8.5,130,https://imdb.com/title/tt0482571,5
44,Grave of the Fireflies,8.5,89,https://imdb.com/title/tt0095327,8
45,Harakiri,8.6,133,https://imdb.com/title/tt0056058,8
46,The Usual Suspects,8.5,106,https://imdb.com/title/tt0114814,7
47,Casablanca,8.5,102,https://imdb.com/title/tt0034583,4
48,The Intouchables,8.5,112,https://imdb.com/title/tt1675434,7
49,Cinema Paradiso,8.5,174,https://imdb.com/title/tt0095765,4
50,Modern Times,8.5,87,https://imdb.com/title/tt0027977,2
51,Rear Window,8.5,112,https://imdb.com/title/tt0047396,4
52,Once Upon a Time in the West,8.5,166,https://imdb.com/title/tt0064116,5
53,Alien,8.5,117,https://imdb.com/title/tt0078748,7
54,City Lights,8.5,87,https://imdb.com/title/tt0021749,2
55,Django Unchained,8.5,165,https://imdb.com/title/tt1853728,7
56,Apocalypse Now,8.4,147,https://imdb.com/title/tt0078788,7
57,Memento,8.4,113,https://imdb.com/title/tt0209144,7
58,12th Fail,8.9,147,https://imdb.com/title/tt23849204,8
59,WALL·E,8.4,98,https://imdb.com/title/tt0910970,2
60,Raiders of the Lost Ark,8.4,115,https://imdb.com/title/tt0082971,4
61,The Lives of Others,8.4,137,https://imdb.com/title/tt0405094,7
62,Sunset Boulevard,8.4,110,https://imdb.com/title/tt0043014,1
63,Avengers: Infinity War,8.4,149,https://imdb.com/title/tt4154756,5
64,Paths of Glory,8.4,88,https://imdb.com/title/tt0050825,1
65,Spider-Man: Into the Spider-Verse,8.4,117,https://imdb.com/title/tt4633694,4
